,ASIN,Product Description,Manufacturer,Product Rating (out of 5)
49,ASIN : B08Z21W4TG,"Care Instructions: Hand Wash Only
Combination of functional & safety features in stylish design, Soft mesh back with 8 mm foam padded 2 Main Compartment, 1 Slip In Pocket inside the bag, Printed Design, Mesh bottle holder on the side,","Manufacturer : VIP Industries Ltd, VIP Industries Ltd, VIP Industries Limited, DGP House, 88C, Old Prabhadevi Road, Prabhadevi, Mumbai 400025. India",4.0
50,ASIN : B089QBD333,"This Anti-Theft Backpack apply anti-theft design technology. Zipper of main pocket is fully hidden in the back of this bag ,no theft will easily open your backpack.
USB Charge External USB port with built-in charging cable offers a convenient charging of your electronic device anywhere, and this bag do not include a battery, you need a power bank to charge it
Spacious compartment -- Power bank port -- Water Bottle Pouch
This Backpack is made of Water Repellent Fabric so now you can travel carefree without worrying about water splashes or rain.
Size: HxWxD : 47x29x17 CM, Capacity (Liters): 23","Manufacturer : Arctic Fox, Outshiny India Pvt. Ltd., No.17, Ganesh Nagar, 8th B Cross,Narayanappa Layout, Kodigehalli,Bengaluru - 560097.",4.5
51,Manufacturer : Uber Fashion Merchandise Pvt. Ltd.,"Capacity: 25 liters, Weight: 800 grams, Dimensions: 31 x 18 x 44 cm (L x W x H)",Department : unisex-adult,4.4
52,ASIN : B07Q7CNPMV,"Care Instructions: Hand Wash Only
Outer Material: Polyester, Color: Sea Blue
Not water resistant. With Rain Cover:No
Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)
Number of compartments: 2; Laptop Compatibility: No
Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket
Drawstring, 2 Compartments, Compact Size","Manufacturer : Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",4.0
53,ASIN : B09QL66G55,"Care Instructions: Hand Wash Only
?LOTS OF STORAGE SPACE&POCKETS- This travel backpack design with multi independent pockets for large storage and organization for small items. 2 spacious main multi compartments with many hidden pockets can accommodate lots of stuffs like college supplies, travel accessories, clothes, stationery, notebook, Mesh pockets at side for water bottle and compact umbrella make your items organized and easier to find.Ideal book bag backpack for high school boys perfectly.<br>
?DIMENSION & DURABLE MATERIAL - Size of extra large backpack:18.89 x 12.0 x 2.99 (inches), perfect to throw under your seat on an airplane when you are traveling or on business trip.Separate padded laptop compartment fits most 15.5 inch laptop /Ipad/Computer.The business computer backpack made from high quality polyester fabric shockproof with high density nylon lining for better TEAR & WATER RESISTANT and heavy duty backpack.<br>
?MULTIPURPOSE - At checkpoint, unfolds the travel backpack freely 90-180 degrees making you quickly through the airport security and keep items tidy, exclusive designed for airplane travel. The big backpack is perfect for indoor/outdoor activities. Served as a durable laptop backpack, large school backpack for Teen Boys/Girls, large laptop bag or spacious college backpack. Perfect travel gifts for men women who like international travel, camping, hiking and overnight trip.<br>
?SECURE& SAFE - Durable Metal Zippers,protects wallet and other items inside from thief and offers a private space.So you never have to worry about someone stealing your laptop, ipad, business file, homework and anything value, keep you a nice peace of mind. Durable metal zippers close and open smoothly, ensure a secure and long-lasting usage everyday or weekend.;Age Range Description: Adult; Pocket Description: Utility Pocket; Pattern Name: Solid; Style Name: Classic<br>
?BREATHABLE & COMFORTABLE - Padded and breathable mesh back panel of this Backpack design help for the air convection, ventilation and heat elimination. Comfortable wide breathable mesh shoulder straps with plentiful sponge pad help relieve the stress from your shoulder. Both sides of the shoulder strap with design, can hang sunglasses and other small pendants.Premium bookbags for men also school backpack for teen boys. And it is a Ideal gifts for men women.<br>","Manufacturer : WildHorn, ADL International, 61 B/H G.J. Khan Road, kolkata-700039, Contact: +91 9051643604",4.0
54,ASIN : B09B25Z8M2,"Care Instructions: Hand Wash Only
100% Polyester, High Quality, Durable and Water Resistant Fabric
2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Age Range Description: Adult; Closure Type: Zipper; Special Features: Lightweight","Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",3.9
55,null,null,null,
56,Manufacturer : Fur Jaden,"KEY FEATURES - Black Colour Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.
Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. Note: We do not provide Power Bank with this Bag.
Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the backside of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.
Durable and Sturdy - Made from durable quality polymer fabric, this Fur Jaden backpack is sturdy and reliable. Flaunt this bag with style and enjoy life with this low maintenance bag which is also washable. This backpack is also suitable for school or college.
Warranty - 1 Year Manufacturer Warranty Against Manufacturing Defects",Department : unisex-adult,4.0
57,null,null,null,
58,null,null,null,
59,ASIN : B0BRNP6M1D,"Made up of long lasting durable water resistant & Waterproof Nylon Material. It is good to use as small Travel bags for women and ladies.
NORMAL DIMENSION:41 x 22 x 26 CM
ZIP CLOSURE - This travel duffel Bag comes with 2 inside small pocket + 1 Main pocket + 1 small Dry wet pocket + 1 Front Small Zipper Pocket. It is mostly suitavble for carry cosmetics and other essensial items with different pockets.
EASY TO CARRY - Handbag you can carry it by hand or carry it on your shoulder, or you can easily place it on your luggage through the fixed belt design on the back, which is convenient for storage and transportation, and makes travel more convenient.
WIDE RANGE OF APPLICATIONS - Waterproof dry bag gym, Sports, Travel, Weekend, Luggage, Carry-on Bag, Shopping Bag, Beach Bag, Hiking and Camping. Suitable for women, men, teens and big kids, great idea as personal item for airline travel and emergency spare bag in the suitcase.",Manufacturer : M/s JD Fresh,3.9
60,null,null,null,
61,null,null,null,
62,ASIN : B09B28TKLG,"Care Instructions: Hand Wash Only
100% Polyester, High Quality, Durable and Water Resistant Fabric
2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects
Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult","Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",4.0
63,ASIN : B0BPTV3795,"Material: Water Resistant Strong Polyester
Compartments: 2 with padding
Laptop Size: 15.6 inch and below
Dimensions: LxWxH - 11 x 6 x 18 inches
Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover","Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",3.8
64,null,null,null,
65,ASIN : B083M1QK32,"Genuine Leather: This laptop bag for men / office bag for men/Laptop Backpack is made of 100% Full Grain Genuine Leather, making it the perfect accessory for office, travel, and daily use. The high-quality leather not only ensures longevity but also adds a touch of elegance to your style. We will gladly reward 100 Times the value of the product upon certification from any accredited labs like ""SGS"" or ""CLRI"" if proven otherwise.
Spacious and Organized: The HAMMONDS FLYCATCHER Shoulder Bag for Men offers ample space and smart organization. With its 1 main compartment, padded laptop compartment, inner zipper pocket, mobile pocket, wallet pocket, pen slots, front pockets, side pockets, and back zipper pocket, this bag keeps your belongings organized. Dimensions: 40cm (L) x 14cm (W) x 30cm (H). Perfect as a shoulder bag for travel and a laptop bag for men.
Water-Resistant and Travel-Friendly: The HAMMONDS FLYCATCHER Office Bag for Men, a leather bag for men, is water-resistant and travel-friendly. It features comfortable leather handles and padded, removable, adjustable shoulder straps for convenient carrying during your daily commute or travel adventures.
Perfectly Fits Your Laptop: The HAMMONDS FLYCATCHER Messenger Bag, also serving as a shoulder bag, hand bag, and executive bag, is designed to accommodate 14/15.6/16-inch laptops, including MacBook and notebooks. This bag ensures a secure and snug fit for your valuable device, providing excellent protection during travel, work, or daily commutes. Its versatile design and functionality make it an ideal choice for professionals on the move.
Perfect Gift: This office bag for men / Hand Bag for Men is a great gifts for men / gift idea for Father's Day, Birthdays, Valentine's Day, Christmas, Graduation, Back To College Or Any Occasion Which Calls For A Gift. The Leather laptop bag / Hand Bag for Men makes a great gift for professionals, artists, students, and all sorts of officials.","Manufacturer : Hindustan Foam, Hindustan Foam, 16m Golam Jilani Khan Road, Kolkata 700039, Contact : 9831172714",4.4
66,ASIN : B08YZ5XY31,"MADE IN INDIA - This “MAKE IN INDIA” Laptop bag for men features 3 large zippered compartments, 1 zip pocket at front, 2 side bottle pockets. This is a perfect laptop, office, school, college bag for men, women, boys and girls. In deed a perfect all-rounder backpack for men, school bags for boys and girls, College bag for boys and college bag for girls, office bag for men and women.
LAPTOP BAG FEATURES - Compartment Description: Up To 15 Inches; Style Name: Casual Backpack for men. Capacity: 48 liters. Size: 20 inch X 13.5 inch X 9.5 inch.
WATER RESISTANT – This laptop bag for men is stylish and durable unisex travel laptop backpack that is your perfect travel partner. School bags for boys is made of high-grade water-resistant polyester material that gives it strength and durable for long-term use. 12 months warranty for any manufacturing defects.
PADDED LAPTOP SLEEVE AND INTERNAL ORGANISER : Padded Laptop backpack for men has sleeve with holder to secure upto 15.6"" Laptops. This office bag for men is compatible with laptops like HP / Lenovo / Acer / ASUS / Dell. Internal organiser to neatly organise and store your keys, cables, stationary and other valuables from theft.
1 YEAR WARRANTY - We offer 1 Year warranty for any manufacturing defects; BEST BACK SUPPORT - We have designed this laptop bag for men to keep your comfort in mind. Shoulder has 12MM high density padding, with 3D ventilated air foam padding to prevent sweating when you use the bag; Pattern Name: Solid; Age Range Description: Adult; Color Name: MBlue; Special Features: Laptop Compartment; Pattern Name: Solid; Age Range Description: Adult","Manufacturer : Akshaya Rubbers, Hebbal Industrial Area, Mysore, 7022982998",3.9
67,null,null,null,
68,ASIN : B0BX3QFVSM,"Material: Water Resistant Light-Weight Polyester
Compartments: 2 (padded) + 1 front easy-access pocket
Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)
Dimensions: LxWxH- 31 x 20 x 47 cms
Adjustable Padded Shoulder straps / 2 Bottle holders / Padded Top-handle / Reflector Logo","Manufacturer : ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com",3.8
69,Manufacturer : American Tourister,"Laptop Compatibility: No, Strap Type: Adjustable
Mesh Padding on back & shoulder strap to provide comfort & better back support
Mesh Padding on back & shoulder strap to provide comfort & better back support
Mesh Padding on back & shoulder strap to provide comfort & better back support
Mesh Padding on back & shoulder strap to provide comfort & better back support",Department : unisex-adult,4.2
70,null,null,null,
71,ASIN : B0BJ986NTC,"Care Instructions: Wipe with Damp Cloth
With its water-resistant and scratch-resistant outer, the Duo bag is designed to keep your belongings safe and dry, even in challenging weather conditions
The Bag features multiple compartments, including anti-theft pockets and a separate shoe compartment, making it easy to stay organized and keep all of your essentials in one place
With its cushioned laptop compartment and padded shoulder straps and back, the Walkent Duo is designed for comfort, even when you're carrying a heavy load. With its huge capacity this bag is perfect for people in sales and marketing
The Bag also includes a number of convenient features, such as an external USB and audio port, a trolley sleeve for travel, and a high-quality durable zipper, separate shoe compartment, waterproof toiletries bag making it the ultimate choice for anyone looking for a functional and stylish laptop backpack
The Bag also includes a number of convenient features, such as an external USB and audio port, a trolley sleeve for travel, and a high-quality durable zipper, separate shoe compartment, waterproof toiletries bag making it the ultimate choice for anyone looking for a functional and stylish laptop backpack","Manufacturer : Walkent (OEM Shenzhen Xinli Bag Co., Ltd.), Walkentstore@gmail.com, Contact: +91 8001655655",4.6
72,null,null,null,
73,ASIN : B097JK3X9D,"Care Instructions: Hand Wash Only
SPACIOUS AND LIGHTWEIGHT: Super spacious laptop overnighter comes with a large suitcase compartment which can efficiently accommodate your clothes and other essential utilities required for 2-3 days stay. The bag comes with a separate compartment compatible with a laptop.
HIGH QUALITY PREMIUM FABRIC: Made of 100% polyester and water resistant fabric, the material used is lightweight yet highly durable. This heavy duty fabric is perfect for all types of travel needs.
COMPRESSION STRAPS & SHOULDER SUPPORT: With heavy-duty, durable compression straps & buckles user can immediately restrict the movement of items inside the bag providing comfort while carrying the bag. Padded shoulder straps provide comfort during prolonged use.
BREATHABLE BACK SUPPORT: Crew 40 is equipped with premium quality back air mesh, made for maximum aeration that prevents overheating & provides ulltimate comfort
Large backpack, overnighter, large laptop backpack, weekend bag, backpack for short travel, all in one backpack","Manufacturer : Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",4.3
74,ASIN : B07YDGQQN5,"Large sized black and grey colour trekking rucksack for men and women for travel use as well as for trendy college and school students. Huge compartment size that can fit upto several pairs of clothes with ease with separate pocket for shoesMultiple pockets for other accessories and water bottle<br>
External clips to hold a yoga mat on the backside available with this rucksack. Also available on both sides of the rucksack are additional clips which can be used to carry camera stands as well as other climbing equipments<br>
The rucksack features a sleek and ergonomic design with a balanced weight distribution through its shoulder straps and waist strapsThis makes this product a suitable alternative to bulky and unsightly rucksacksThe compact design of this trekking bag helps you to rest it comfortably on your shoulders while accommodating all your essentials with ease<br>
Capacity: 55 L ; weight: 700 grams; dimensions: 35 cms x 25 cms x 65 cms (LxWxH); 1 Year manufacturer warranty against defects; Lining Description: Polyester; Special Features: Back Padding; Pocket Description: Utility Pocket; Style Name: Rucksack Backpacks; Closure Type: Zipper; Age Range Description: Adult; Color Name: Black Grey<br>
Water Resistance Level: Water Resistant; Warranty Description: 1 Year Manufacturer Warranty Against Defects Only<br>","Packer : Fur Jaden 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028",4.3
75,ASIN : B097RJ22Q3,"The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways.
Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag.
Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability.
External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres.
Manufacturer warranty - 2 years","Manufacturer : Bagzone Lifestyle Pvt Ltd, Bagzone Lifestyle Pvt Ltd | | LAVIE 402, Ackruti Star, MIDC Central Road, Andheri East, Mumbai – 400093",3.9
76,ASIN : B07XVMR33Q,"Care Instructions: Hand Wash Only
MULTI-FUNCTION COMPARTMENT: ZIPLINE backpack for men features with multiple storage compartments and for additional supplies and accessories such as your, iPhone, iPad, pen, keys, wallet, books, clothes, bottle, passport and more.
DURABLE MATERIAL: The school bag for boys is made up of superior quality which is durable, eco-friendly waterproof and anti-scratch polyester and featuring a reinforced bottom to withstand heavy use, perfect for business, travel, school and other outdoor activities.
COMFORTABLE DESIGN: Our school bag for boys ""S"" Curve is adjustable, heavily padded shoulder straps and back panel make the school bag more comfortable to wear even when loaded with all your gear; Compact: Backpack for men has a roomy three compartment, front zipper pockets to hold small accessories, one internal security zippered pocket for valuable items and side pockets for water bottle or umbrella and thus it is best school bags for boys.
Size:18*13*9 inch(L*W*H), Capacity: The college bag has capacity of 36.5L which is bigger than others of the same style. Good size for school bags, college bag, camping, travel, shopping, hiking, climbing, vintage backpack for men and women.; Age Range Description: Kid; Special Features: Water Bottle Umbrella Pouch; Pocket Description: Utility Pocket
Compartment Description: The backpack for men is not laptop compatible; Warranty Description: 1 Year From The Date Of Purchase, Water Resistance Level: Waterproof","Manufacturer : Atulitu Agency, ,251/3364, Tagore Nagar - 1, Vikhroli East, Mumbai - 400083 (9820078070)",4.0
77,Manufacturer : Wildcraft,"Outer Material: Fabric, Color: Black; Water resistant
Capacity: 21 liters; Weight: 480 grams; Dimensions: 18 inches x 13 inches x 5 inches (LxWxH)
Number of compartments: 2
Laptop Compatibility: Yes, Laptop Size: 15 inches
Pocket Description: Utility Pocket; Closure Type: Zipper; Age Range Description: Adult; Style Name: Traditional Backpacks; Special Features: Laptop Compartment; Lining Description: Nylon
Fits upto 15"",Side mesh pocket for water bottle",Manufacturer : Wildcraft,4.4
78,ASIN : B08PSX1LN9,"ROOMY ENOUGH BACKPACK FOR MEN: This laptop bag for men is ultra lightweight comes with three main compartments having the capacity of approx 45 Ltr, big enough to carry laptop of all sizes, books, clothes, camping gear; 3 main compartments to store all your essentials and 1 small front pocket to carry small accessories. It also features an Internal Organiser (small pockets inside a office bag for men / office bag for women).
COMFORTABLE TRAVEL : This backpack for men has Honeycomb padded structure which helps you travelling comfortably all day long, provides proper air circulation while in summer also to prevent you feel more relax. The laptop bag for men comes with Chest Strap, Hip Belt, Straight Shaped Straps structure which fits on your shoulders very comfortably makes you lift heavy objects easily. CAPACITY : 45L; Weight: 0.7kg ; Dimensions: 56x36x25cm ; Utility: Ideal for Travel, Hiking, Trekking & Camping.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Rain Cover, Internal Organiser (Small Pockets), Strong and durable zippers, Adjustable Shoulder Handles (Straps), 2 Bottle/Umbrella holders , Padded Handle , Padded Laptop Compartment , Ergonomic Design, Reflector Logo, etc.
QUALITY OF BACKPACK FOR MEN: A major problem in many rucksack/office bag for men is that it get torn between your journey but this laptop bag for men is strong enough to hold even the heaviest of your items without any problem. It is made up of a strong polyester material, is stitched properly, and is bartacked on every pressure point for extra strength.
OTHER FEATURES OF LAPTOP BAG FOR MEN: The office bag for men / office bag for women has Back Padding, Chest Strap, Earphone Cord Support, Unique Design, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Padded Shoulder Strap, Breathable Mesh etc.",Manufacturer : AB Amazing Bags,4.1
79,ASIN : B097K6KD7W,"2-main zippered compartment, one inside sleeve for laptop, a front pocket with an organizer.
One zippered front pocket, one mesh zippered pocket & two mesh pockets on both sides.
Thick padding anti-sweat breathable air mesh & adjustable padded shoulder straps.
World’s best Japanese brand YKK zippers and sliders.
Comes with the F Gear promise of quality and durability.","Manufacturer : Uber Fashion Merchandise Pvt Ltd, Uber Fashion Merchandise Pvt Ltd 17G 46 3 1Flr 2Stage Yeshwantpur Bangalore560022 contact@fgear.in 9066161590",4.2
80,ASIN : B0B4JQSMD5,"2 Large Compartments 1 Easy access front Pocket with organizer section & 2 mesh side pocket
Capacity : 36 L ; Dimensions : 13X9X19 Inch (LXWXH)
Pretty much everything on this backpack is heavily padded. The laptop compartment is also super protective, so there's no need to worry about your laptop getting all banged and damaged. These bags are made of long lasting fabric and their stylish designs help you to make the best impression. It's features are such to make sure that every day is bright and organized.
Laptop pocket designed for your laptops to give them maximum security. It comes with Ipad Pocket and Pen Pocket which aids in organising your things systematically. A comfortable breathable back and straps to strengthen your shoulder and hence ensures durability.
A roller bag sleeve added feature to make your travelling even more comfortable and convenient. It is water resistance also so that your backpack never loses its good look.","Manufacturer : EUME Lifetsyle Pvt Ltd, EUME Lifetsyle Pvt Ltd, Customer Care Email : customercare@eumeworld.com, Customer Care Contact : 9321366003",4.4
81,Manufacturer : Ambrosia Bags,"Care Instructions: Hand Wash Only
3 Large Compartments, 1 Easy access front Pocket with organizer section & 2 mesh side pocket<br>
Outer Fabric: Durable PU coated Polyester Fabric, inner abric: Strong PU coated polyester fabtic, Hip Strap : No<br>
Well cushioned Laptop compartment for upto 15.6 inch Laptop and spacious enough to carry for two days cloths<br>
Weight: 800gm; Dimensions: 13.00x18.75x9.50 inches (WxHxD)<br>
Strap Type: Adjustable; Pattern Name: Solid; Closure Type: Zipper; Warranty Description: 1 Year Warranty Against Manufacturing Defects.; Pocket Description: Utility Pocket; Style Name: Casual; Compartment Description: Up To 15 Inches; Water Resistance Level: Waterproof; Age Range Description: Adult<br>",Department : unisex-adult,4.4
82,ASIN : B0B68Z3X7D,"Care Instructions: Hand Wash Only
Handcrafted with care and made up of premium quality robust material","Manufacturer : Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India. Customer Care: Email : customercare@uppercase.co.in & Contact no. +91 8691 800 800",4.1
83,ASIN : B0C28QQMFJ,"Care Instructions: Wipe with Damp Cloth
Fur Jaden Pro Series: Introducing our most premium, stylish and functional range of travel accessories. We craft signature pieces that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication.
Smart Anti-Theft Tech Backpack: Fur Jaden Pro V comes with an in-built USB Type-A and USB Type-C reversible charging port system to facilitiate safe and quick charging on the go. With reversible charging, charge the powerbank directly without having to remove it from your bag. Anti-Theft: This smart tech backpack comes with an anti-theft pocket on the back to store valuable documents, wallets, keys and other smaller essentials while travelling.
Multi Utility Compartments: Unique Barrel styled front compartment is spacious to house t-shirts and denims for a short weekend getaway. It also features a small utility pocket to hold wallets/ cardholders/keys. On the back, a 180 Degree openable padded compartment to store tablets/ kindle devices and laptops upto 15.6 Inches.
Innovative Design: Handcrafted with precision, this uniqely designed structured laptop backpack features two quick access front pockets to hold small accessories plus an additional side pocket to house the power bank which can also be used to store a 500ml water bottle.
Warranty: 1 Year Manufacturer Warranty Against Defects. Product Dimensions: 48 cm (H) x 30 cm (W) x 15 cm (D). Storage Volume: 22L.","Manufacturer : Fur Jaden, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",4.8
84,ASIN : B0C3MHG797,"Care Instructions: Wipe with Dry Cloth
Unique Diamond Cut ABS Hard-shell Design. Accommodates Upto 15.6"" Laptop.
Kissing Zip Pullers for Locking Mechanism. Separate Compartment for IPad / Notebook.
Velcro Flap to Prevent 180° Opening. Elasticated File / Documents Holder. 180° Opening for Packing / Unpacking Ease. Separate Mesh Zipper Pocket for Accessories.
Spacious Garments / Files Pocket for Overnight Travel. Miscellaneous Storage pockets for organizing ease.
Premium Padded Back Mesh Panel for Extra Comfort. Adjustable Shoulder Strap for Comfort Fit. Comfort Grip Carrying Handle.","Manufacturer : Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020, Swiss Military Consumer Goods Limited, W-39, Okhla Industrial Area, Delhi , Delhi - 110020",3.7
85,ASIN : B09RK6NCGC,"PREMIUM LEATHER: We present you a Messenger bag made from Premium Grade 100% Vegan Leather. This vegan leather comes in dual tone Brown shade tone with grain pattern that is rich in taste and is perfect for men with Class.
PERFECT FIT: This bag is suitable for upto 15.6 inch laptop. You get to store the laptop inside a separate 10mm Thick Padded Laptop Compartment so that you laptop stays safe from sudden shock.
SPACIOUS: With 2 Large Main Compartments, 3 Medium Compartments, Inner Accessories pocket, you get plenty of space to store your day to day office things likes Laptop, books, few clothes, bottle, documents and other small essentials. Moreover, the bag is  Expandable upto additional 30% with its bottom chain giving you more space in the hour of need.
TOP NOTCH CRAFTSMANSHIP: At Trajectory, we train every artisan to a degree of perfection so that you get a bag with fine stitching standards. Moreover, We use Best in Class Antique Style Hardware for providing Classic look and durability to the bag.
QUALITY GUARANTEED: While amazon gives 10 days return policy, we at Trajectory give 30 days return in case of any manufacturing defect. Along with that, we provide 2 years warranty against manufacturing defect. Our Customer support team is happy to serve you, call us.","Manufacturer : Trajectory Marketing LLP, Customer support contact no:- 8178915719",4.1
86,ASIN : B09B2581S9,"100% Polyester, High Quality, Durable and Water Resistant Fabric
Front storage pocket keeps smaller items neatly organized and easy to access
Mesh pockets on both sides to accommodate your water bottle and umbrella
USB Charging Point to Charge On the Go - With our attached charging dock, now charing on the go is easier than before. Important Note: We do not provide Free Portable Charger with the Bag; 1-year International Warranty against manufacturing defects
Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult","Manufacturer : Safari Industries, 302-303, A Wing, The Qube CTS No.1498, A/2, Sir Mathuradas Vasanji Rd, Marol, Andheri East, Mumbai, Maharashtra 400059",3.8
87,ASIN : B088B4P6ZW,"Durability & Design: 30L Laptop Backpack 2 Large Compartments, 1 Easy access front Pocket with 2 Mesh Side Bottle Pocket. Fabric: Light weight polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all boys, girls, men and women.<br> <br>
FEATURES: Laptop Compartment (can carry laptops of size 15.6 & 17 inches), Reflective Strip makes it very useful for Bike Riders at Night.<br> <br>
Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. “S” Shaped shoulder strap distribute the weight of the backpack across your upper body.<br> <br>
FABRIC : Polyester, Closure Type: Zipper, Gender: Unisex Size: 18 inch X 13 inch X 7.5 inch.<br> <br>
Compartment Description: Up To 17 Inches; Pattern Name: Self Design; Warranty Description: Warranty Type: Manufacturer; Age Range Description: Kid; Pocket Description: Utility Pocket; Special Features: Back Padding <br>",Manufacturer : Martucci,3.9
88,ASIN : B0BX9SVT1D,"Care Instructions: Hand Wash Only
One Main compartment and Laptop Compartment with front pocket & 2 side bottle sleeves
Dimensions 45 x 32 x 17 cm
Capacity 20L
Premium YKK zippers",Manufacturer : STRABO BAGS AND ACCESSORIES LLP,4.4
89,ASIN : B08Y5S6C2P,"Care Instructions: Wipe with Damp Cloth
PERFECT SIZE & STORAGE SPACE: This laptop backpack is the ideal size to store your 15.6-inch, 15-inch or 14-inch laptop as well as other items. Convenient main compartments for clothes, folders, and books, an iPad, and other items. Keep your phone and money in the pockets. School bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack
Front two slanted pockets on Tabelito laptop backpacks are ideal for quick items like your work ID, powerbank, phone charger and cables or wallet. Your belongings are organised with keys for an open door, two side pockets for a water bottle, and a small umbrella. It can be used as a backpack for males, a women's backpack or a school bag for girls. You can give it to males as a present. luggage for travel
COMFORTABLE & STURDY: Made of WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, reduce shoulder stress, basic but comfortable back design offers your wonderful back support, making your working, trip, and travelling more convenient wherever you go. You might use it as a men's office bag.
Light-weight carrying and ideal for weekend excursions, back-to-school, outdoor activities, and college bags for men, among other things;
Sized at 20 x 12.2 x 5.7 inches, this multipurpose bag is the ideal size to tuck under your seat while flying or on a business trip. Ideal for college back to school, conveniently storable. A excellent option for a work laptop bag, a business laptop bag, a laptop bag for men and women, as well as a gift bag for travellers, boyfriends, girlfriends, and men.","Manufacturer : Tabelito Trade India, Tabelito Trade India, Prop No: 5, Ground Floor, Kh No:641, Village Rithala, Land Mark: Near Suzuki service center (Rithala), Contact : +919958166528",4.0
